Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,143.57745545615623,13.281374697173206,4.7964592408168425,1.3000000000000012e-2,3.5079094260982073e-4,"cx0_1: 1.156e-2",Mon Aug 10 2020 13:26:39 GMT+0700 (Indochina Time)
Q1,98.23831623464262,129.1222391513311,4.94013149418894,1.9000000000000017e-2,6.078155629550766e-4,"cx1_0: 1.156e-2, cx1_2: 8.297e-3, cx1_3: 1.543e-2",Mon Aug 10 2020 13:26:39 GMT+0700 (Indochina Time)
Q2,108.41888641196324,109.37932780978836,4.833514847232963,3.0000000000000027e-3,3.716589333271202e-4,"cx2_1: 8.297e-3",Mon Aug 10 2020 13:26:39 GMT+0700 (Indochina Time)
Q3,110.70002333851748,62.32249520785897,4.807973441055786,1.3000000000000012e-2,5.583612973086898e-4,"cx3_1: 1.543e-2, cx3_4: 7.672e-3",Mon Aug 10 2020 13:26:39 GMT+0700 (Indochina Time)
Q4,157.4141884352113,56.17974718955215,4.749668337413121,1.6000000000000014e-2,4.4471041288900425e-4,"cx4_3: 7.672e-3",Mon Aug 10 2020 13:26:39 GMT+0700 (Indochina Time)
