Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,54.81211331724857,27.125934653741506,5.282917806895664,6.45e-2,1.6722966261144665e-3,"cx0_1: 2.406e-2, cx0_2: 1.712e-2",Sat Aug 15 2020 14:31:56 GMT+0700 (Indochina Time)
Q1,52.065875705205606,28.17339577942911,5.247653612835159,2.0000000000000018e-2,8.239516481583703e-4,"cx1_0: 2.406e-2, cx1_2: 2.277e-2",Sat Aug 15 2020 14:31:56 GMT+0700 (Indochina Time)
Q2,52.84654554625814,88.44092936805642,5.033840658694658,1.9500000000000073e-2,6.024277816939111e-4,"cx2_0: 1.712e-2, cx2_1: 2.277e-2, cx2_3: 1.613e-2, cx2_4: 1.665e-2",Sat Aug 15 2020 14:31:56 GMT+0700 (Indochina Time)
Q3,58.37145238256309,34.261633508966035,5.292245276752582,1.100000000000001e-2,4.104328630715097e-4,"cx3_2: 1.613e-2, cx3_4: 1.270e-2",Sat Aug 15 2020 14:31:56 GMT+0700 (Indochina Time)
Q4,67.30676835932721,49.018684248583675,5.078488679838693,4.400000000000004e-2,5.332383839285467e-4,"cx4_2: 1.665e-2, cx4_3: 1.270e-2",Sat Aug 15 2020 14:31:56 GMT+0700 (Indochina Time)
