Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,98.23225961832352,13.281374697173206,4.796455572245429,1.100000000000001e-2,4.891272594098324e-4,"cx0_1: 1.209e-2",Sat Aug 15 2020 13:46:06 GMT+0700 (Indochina Time)
Q1,62.78740100953767,73.70902084349865,4.940131632950753,1.0000000000000009e-2,6.013588057895924e-4,"cx1_0: 1.209e-2, cx1_2: 9.296e-3, cx1_3: 1.264e-2",Sat Aug 15 2020 13:46:06 GMT+0700 (Indochina Time)
Q2,64.69741945208456,67.49389144608303,4.833495778890259,1.200000000000001e-2,4.2845804491284183e-4,"cx2_1: 9.296e-3",Sat Aug 15 2020 13:46:06 GMT+0700 (Indochina Time)
Q3,27.097154142927643,47.71501485147962,4.807963692989368,3.1000000000000028e-2,8.162352688863475e-4,"cx3_1: 1.264e-2, cx3_4: 8.897e-3",Sat Aug 15 2020 13:46:06 GMT+0700 (Indochina Time)
Q4,113.58925834719267,51.45593966853777,4.749669117868671,1.9000000000000017e-2,6.000050110391789e-4,"cx4_3: 8.897e-3",Sat Aug 15 2020 13:46:06 GMT+0700 (Indochina Time)
