Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,114.41357710315751,61.65852426798854,4.641559017689571,5.0999999999999934e-2,1.0798590774299688e-3,"cx0_1: 1.420e-2",Sat Aug 15 2020 14:43:14 GMT+0700 (Indochina Time)
Q1,43.32599373276904,56.07361377748319,4.720055721195805,8.140000000000003e-2,7.32900633801844e-4,"cx1_0: 1.420e-2, cx1_2: 1.756e-2, cx1_3: 2.101e-2",Sat Aug 15 2020 14:43:14 GMT+0700 (Indochina Time)
Q2,83.41443387041579,107.72992960517283,4.761981515017115,4.289999999999994e-2,4.163710509464157e-4,"cx2_1: 1.756e-2",Sat Aug 15 2020 14:43:14 GMT+0700 (Indochina Time)
Q3,74.09721520226421,88.44623115109518,4.686976151723028,3.3499999999999974e-2,4.504575719261022e-4,"cx3_1: 2.101e-2, cx3_4: 9.367e-3",Sat Aug 15 2020 14:43:14 GMT+0700 (Indochina Time)
Q4,109.1368759481281,22.88990160567525,4.924295062979571,2.3400000000000087e-2,4.001690346954772e-4,"cx4_3: 9.367e-3",Sat Aug 15 2020 14:43:14 GMT+0700 (Indochina Time)
