Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,45.84569935478387,99.71287029657285,5.254003964079403,2.0000000000000018e-2,3.137203790782926e-4,"cx0_1: 9.255e-3",Sat Aug 15 2020 14:43:31 GMT+0700 (Indochina Time)
Q1,55.204018839088874,47.99235623234825,5.048852158451823,3.166666666666673e-2,4.923727863916903e-4,"cx1_0: 9.255e-3, cx1_2: 9.639e-3, cx1_3: 1.457e-2",Sat Aug 15 2020 14:43:31 GMT+0700 (Indochina Time)
Q2,64.99908623941297,26.702849056999906,5.23031106846377,1.0333333333333328e-1,3.015062250604642e-4,"cx2_1: 9.639e-3",Sat Aug 15 2020 14:43:31 GMT+0700 (Indochina Time)
Q3,86.0802166138183,120.08744945580175,5.201326460105617,3.166666666666662e-2,3.3333372100931833e-4,"cx3_1: 1.457e-2, cx3_4: 3.643e-2",Sat Aug 15 2020 14:43:31 GMT+0700 (Indochina Time)
Q4,55.126844948379514,19.21139135855103,5.065847942441052,3.3333333333333326e-2,3.1318132640082864e-3,"cx4_3: 3.643e-2",Sat Aug 15 2020 14:43:31 GMT+0700 (Indochina Time)
