Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,112.67659593830616,13.281374697173206,4.79645830964656,1.7000000000000015e-2,4.5497988088305253e-4,"cx0_1: 9.448e-3",Sun Aug 16 2020 13:36:37 GMT+0700 (Indochina Time)
Q1,110.26993179882643,106.8582370366588,4.940127821670655,2.100000000000002e-2,4.4683815497883317e-4,"cx1_0: 9.448e-3, cx1_2: 6.989e-3, cx1_3: 1.210e-2",Sun Aug 16 2020 13:36:37 GMT+0700 (Indochina Time)
Q2,100.35514583833142,130.29268524596296,4.833515259477242,1.3000000000000012e-2,3.7495443652201086e-4,"cx2_1: 6.989e-3",Sun Aug 16 2020 13:36:37 GMT+0700 (Indochina Time)
Q3,63.01331472698895,102.72132788808261,4.807975246845992,1.8000000000000016e-2,6.841578931323711e-4,"cx3_1: 1.210e-2, cx3_4: 8.580e-3",Sun Aug 16 2020 13:36:37 GMT+0700 (Indochina Time)
Q4,138.08867999341345,51.45593966853777,4.749672468930459,2.100000000000002e-2,6.131477726903306e-4,"cx4_3: 8.580e-3",Sun Aug 16 2020 13:36:37 GMT+0700 (Indochina Time)
