Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,116.92209672917159,163.29057302816767,4.499358660055447,3.0399999999999983e-2,3.5681337731762684e-4,"cx0_1: 8.620e-3",Mon Aug 17 2020 14:47:38 GMT+0700 (Indochina Time)
Q1,91.76890399367032,103.66290326066199,4.694649424181284,5.590000000000006e-2,4.981365868389903e-4,"cx1_0: 8.620e-3, cx1_2: 1.590e-2, cx1_3: 1.198e-2",Mon Aug 17 2020 14:47:38 GMT+0700 (Indochina Time)
Q2,67.98531412911424,107.05930790444626,4.663966282133199,2.6799999999999935e-2,7.166430734469684e-4,"cx2_1: 1.590e-2",Mon Aug 17 2020 14:47:38 GMT+0700 (Indochina Time)
Q3,77.63743810838022,86.1316540245667,4.653460374062247,4.0899999999999936e-2,6.771941406042574e-4,"cx3_1: 1.198e-2, cx3_4: 1.332e-2",Mon Aug 17 2020 14:47:38 GMT+0700 (Indochina Time)
Q4,50.54519073780241,61.79704849475035,4.610844087013447,5.630000000000002e-2,6.755682152761789e-4,"cx4_3: 1.332e-2",Mon Aug 17 2020 14:47:38 GMT+0700 (Indochina Time)
