Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,86.48130348571445,63.41117479839831,4.743908466748573,2.749999999999997e-2,3.1100483401061267e-4,"cx0_1: 8.398e-3",Fri Aug 14 2020 16:41:01 GMT+0700 (Indochina Time)
Q1,73.1321784746279,44.434028485669714,4.657249132647715,2.749999999999997e-2,5.447880794831643e-4,"cx1_0: 8.398e-3, cx1_2: 1.218e-2, cx1_3: 1.293e-2",Fri Aug 14 2020 16:41:01 GMT+0700 (Indochina Time)
Q2,64.7550359749758,43.681766464105635,4.792473114631182,3.249999999999997e-2,4.685647873208479e-4,"cx2_1: 1.218e-2",Fri Aug 14 2020 16:41:01 GMT+0700 (Indochina Time)
Q3,91.12353965680212,48.90073752102199,4.834412577380371,1.4999999999999902e-2,3.351259104801723e-4,"cx3_1: 1.293e-2, cx3_4: 1.094e-2",Fri Aug 14 2020 16:41:01 GMT+0700 (Indochina Time)
Q4,105.42717037823354,113.45310966179872,4.959538037958091,1.3749999999999929e-2,2.6910892768567193e-4,"cx4_3: 1.094e-2",Fri Aug 14 2020 16:41:01 GMT+0700 (Indochina Time)
