Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,86.01081995758693,108.52056960718186,5.254009013641395,2.833333333333332e-2,3.977007664668341e-4,"cx0_1: 8.027e-3",Wed Aug 19 2020 23:58:31 GMT+0700 (Indochina Time)
Q1,62.867291353046625,65.15960099840768,5.048852981046238,4.499999999999993e-2,5.644206729369004e-4,"cx1_0: 8.027e-3, cx1_2: 9.960e-3, cx1_3: 1.624e-2",Wed Aug 19 2020 23:58:31 GMT+0700 (Indochina Time)
Q2,69.34305468700839,100.9088628688439,5.230298547509122,7.166666666666666e-2,3.337570281043444e-4,"cx2_1: 9.960e-3",Wed Aug 19 2020 23:58:31 GMT+0700 (Indochina Time)
Q3,54.99685522437633,95.7288173946125,5.201326453912449,2.3333333333333317e-2,3.3841022609148395e-4,"cx3_1: 1.624e-2, cx3_4: 1.881e-2",Wed Aug 19 2020 23:58:31 GMT+0700 (Indochina Time)
Q4,78.58915800424498,19.29329753728151,5.065905261898403,3.3333333333334103e-3,3.3229067932179354e-4,"cx4_3: 1.881e-2",Wed Aug 19 2020 23:58:31 GMT+0700 (Indochina Time)
