Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,96.23992768887817,60.462520406662755,4.6415545531915265,4.820000000000002e-2,4.3231415128235415e-4,"cx0_1: 1.215e-2",Wed Aug 12 2020 14:40:54 GMT+0700 (Indochina Time)
Q1,59.42806738449393,83.08970227749077,4.720056474185463,6.180000000000008e-2,5.161592014622072e-4,"cx1_0: 1.215e-2, cx1_2: 1.406e-2, cx1_3: 2.160e-2",Wed Aug 12 2020 14:40:54 GMT+0700 (Indochina Time)
Q2,69.33565299680761,103.60407053686863,4.761987138365441,2.8200000000000003e-2,5.037835373130192e-4,"cx2_1: 1.406e-2",Wed Aug 12 2020 14:40:54 GMT+0700 (Indochina Time)
Q3,80.20275610794693,74.0004354266664,4.68697702446845,3.180000000000005e-2,5.651695647999202e-4,"cx3_1: 2.160e-2, cx3_4: 1.206e-2",Wed Aug 12 2020 14:40:54 GMT+0700 (Indochina Time)
Q4,95.07211628050044,21.728091562340968,4.924288645817785,1.8399999999999972e-2,5.116988198798595e-4,"cx4_3: 1.206e-2",Wed Aug 12 2020 14:40:54 GMT+0700 (Indochina Time)
