Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,52.771049671402665,17.534274362480378,5.282894045443904,5.0000000000000044e-2,1.430303663456108e-3,"cx0_1: 1.813e-2, cx0_2: 1.572e-2",Tue Aug 11 2020 14:42:04 GMT+0700 (Indochina Time)
Q1,56.79030376762187,26.879893584761597,5.247669015503193,4.75000000000001e-2,9.44342126428398e-4,"cx1_0: 1.813e-2, cx1_2: 2.278e-2",Tue Aug 11 2020 14:42:04 GMT+0700 (Indochina Time)
Q2,50.50343305629708,78.59602664054911,5.033840983246033,1.9500000000000073e-2,5.530418084080789e-4,"cx2_0: 1.572e-2, cx2_1: 2.278e-2, cx2_3: 1.651e-2, cx2_4: 1.344e-2",Tue Aug 11 2020 14:42:04 GMT+0700 (Indochina Time)
Q3,54.13402965972424,35.606453151068095,5.2922437901839485,1.750000000000007e-2,4.005756307782984e-4,"cx3_2: 1.651e-2, cx3_4: 1.287e-2",Tue Aug 11 2020 14:42:04 GMT+0700 (Indochina Time)
Q4,76.73941480109563,44.31947203306299,5.078485887731903,4.949999999999999e-2,5.241451622016343e-4,"cx4_2: 1.344e-2, cx4_3: 1.287e-2",Tue Aug 11 2020 14:42:04 GMT+0700 (Indochina Time)
