Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,120.08505088992258,67.49681267137471,4.820296473452313,1.0000000000000009e-2,3.9190127418429853e-4,"cx0_1: 7.361e-3",Sat Aug 15 2020 14:39:36 GMT+0700 (Indochina Time)
Q1,67.80245332955033,32.07210787414358,4.890174745974223,3.200000000000003e-2,3.221239436701697e-4,"cx1_0: 7.361e-3, cx1_2: 9.063e-3, cx1_3: 1.221e-2",Sat Aug 15 2020 14:39:36 GMT+0700 (Indochina Time)
Q2,115.16976030864645,99.3705475115101,4.716564264285662,8.000000000000007e-3,1.5835064891207422e-4,"cx2_1: 9.063e-3",Sat Aug 15 2020 14:39:36 GMT+0700 (Indochina Time)
Q3,129.51236392331464,111.96498703530732,4.789005744991253,4.0000000000000036e-2,3.6025573019253553e-4,"cx3_1: 1.221e-2, cx3_4: 8.139e-3",Sat Aug 15 2020 14:39:36 GMT+0700 (Indochina Time)
Q4,33.183454711813795,21.242442811676806,5.023800506073336,5.800000000000005e-2,6.377335772089993e-4,"cx4_3: 8.139e-3",Sat Aug 15 2020 14:39:36 GMT+0700 (Indochina Time)
