Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,111.6772793482448,71.20587754543243,4.743907991793727,3.249999999999997e-2,3.946939816802553e-4,"cx0_1: 7.193e-3",Mon Sep 21 2020 15:43:10 GMT+0700 (Indochina Time)
Q1,104.71655597276684,61.83389495427727,4.657228322400966,3.249999999999997e-2,4.616210301943809e-4,"cx1_0: 7.193e-3, cx1_2: 1.280e-2, cx1_3: 1.216e-2",Mon Sep 21 2020 15:43:10 GMT+0700 (Indochina Time)
Q2,84.30208310117513,73.73625552143258,4.792455929062297,2.6249999999999996e-2,3.932300473616655e-4,"cx2_1: 1.280e-2",Mon Sep 21 2020 15:43:10 GMT+0700 (Indochina Time)
Q3,84.99209031702097,40.39049047805915,4.834411524215504,2.124999999999999e-2,2.9607715722739235e-4,"cx3_1: 1.216e-2, cx3_4: 1.189e-2",Mon Sep 21 2020 15:43:10 GMT+0700 (Indochina Time)
Q4,114.30488258965876,155.28973338634864,4.959524487432906,1.3749999999999929e-2,4.353433960593123e-4,"cx4_3: 1.189e-2",Mon Sep 21 2020 15:43:10 GMT+0700 (Indochina Time)
