Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,133.46024423362778,20.36446297254618,4.7966093576612705,1.0000000000000009e-2,3.3524610614269585e-4,"cx0_1: 1.174e-2",Wed Sep 30 2020 13:18:57 GMT+0700 (Indochina Time)
Q1,105.42576486361094,104.09566896401707,4.940128011887815,3.8999999999999924e-2,5.139596820674065e-4,"cx1_0: 1.174e-2, cx1_2: 7.606e-3, cx1_3: 1.129e-2",Wed Sep 30 2020 13:18:57 GMT+0700 (Indochina Time)
Q2,121.6190325024075,113.94444937087947,4.8335086909107945,1.200000000000001e-2,4.702048272640401e-4,"cx2_1: 7.606e-3",Wed Sep 30 2020 13:18:57 GMT+0700 (Indochina Time)
Q3,89.16689563135274,86.51955092126944,4.807961794742133,1.9000000000000017e-2,7.480338013067234e-4,"cx3_1: 1.129e-2, cx3_4: 6.822e-3",Wed Sep 30 2020 13:18:57 GMT+0700 (Indochina Time)
Q4,88.54716305294647,45.263853080655714,4.7496754028881965,1.8000000000000016e-2,8.61485962421335e-4,"cx4_3: 6.822e-3",Wed Sep 30 2020 13:18:57 GMT+0700 (Indochina Time)
