Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,72.54,157.41,5.301,-0.33148,3.510e-2,0.048,0.0222,5351.111,3.920e-4,3.920e-4,3.920e-4,0_1:1.305e-2,0_1:234.667
Q1,81.5,121.88,5.081,-0.31925,2.100e-2,0.0314,0.0106,5351.111,3.296e-4,3.296e-4,3.296e-4,1_3:1.140e-2; 1_2:7.701e-3; 1_0:1.305e-2,1_3:334.222; 1_2:298.667; 1_0:270.222
Q2,108.39,114.18,5.322,-0.33232,8.700e-2,0.1332,0.0408,5351.111,5.191e-4,5.191e-4,5.191e-4,2_1:7.701e-3,2_1:263.111
Q3,109.36,20.86,5.164,-0.33508,2.810e-2,0.0474,0.0088,5351.111,9.281e-4,9.281e-4,9.281e-4,3_4:2.126e-2; 3_1:1.140e-2,3_4:277.333; 3_1:369.778
Q4,56.12,69.45,5.052,-0.31926,2.910e-2,0.0484,0.0098,5351.111,4.258e-4,4.258e-4,4.258e-4,4_3:2.126e-2,4_3:312.889
